[[ 2, 6, 2, 14, 22, 102 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^6 + x^5*y + x^5 + x^4 + x^3*y + x^3 + x*y + y^2 + 1]
[[ 2, 6, 2, 14, 22, 102 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6 + x^4*y + x^3*y + x^3 + x^2*y + x + y^2 + 1]
[[ 4, 6, 4, 14, 44, 30 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^5 + x^3*y + x*y + x + y^2]
[[ 4, 6, 10, 6, 14, 54 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6 + x^5*y + x^4 + x^3*y + x*y + x + y^2]
[[ 2, 6, 14, 30, 42, 78 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^4 + x^3*y + x^2 + x*y + y^2 + 1]
[[ 2, 6, 14, 30, 42, 78 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6 + x^4*y + x^3*y + x^2*y + x^2 + x + y^2 + 1]
[[ 4, 6, 4, 22, 24, 66 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^6 + x^5*y + x^5 + x^3*y + x^2 + x*y + x + y^2]
[[ 2, 6, 8, 22, 32, 102 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^5*y + x^5 + x^4 + x^3*y + x^2 + x*y + y^2 + 1]
[[ 4, 6, 10, 30, 14, 66 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^3*y + x^2 + x*y + x + y^2]
[[ 4, 6, 10, 30, 14, 66 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^3*y + x^2*y + x + y^2]
[[ 4, 6, 4, 14, 24, 54 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^6 + x^5*y + x^4 + x^3*y + x^2 + x*y + x + y^2]
[[ 4, 6, 4, 30, 24, 78 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^5*y + x^5 + x^4 + x^3*y + x*y + x + y^2]
[[ 4, 6, 4, 30, 24, 78 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6 + x^4*y + x^3*y + x^3 + x^2*y + x + y^2]
[[ 4, 6, 16, 14, 44, 102 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^5*y + x^5 + x^3*y + x^2 + x*y + x + y^2]
[[ 4, 6, 16, 14, 44, 102 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6 + x^4*y + x^3*y + x^2*y + x^2 + x + y^2]
[[ 2, 6, 8, 6, 52, 54 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^5 + x^3*y + x^2 + x*y + y^2 + 1]
[[ 4, 6, 10, 22, 54, 78 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^6 + x^5*y + x^5 + x^3*y + x^2 + x*y + x + y^2]
[[ 4, 6, 16, 22, 44, 66 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^3*y + x^3 + x*y + x + y^2]
[[ 4, 6, 10, 22, 34, 102 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^3*y + x^3 + x*y + x + y^2]
[[ 2, 6, 14, 14, 42, 54 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^6 + x^5*y + x^5 + x^4 + x^3*y + x^3 + x*y + y^2 + 1]
