[[ 0, 6, 0, 10, 10, 66 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^6*y + x^5*y + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x + y^2 + y + 1]
[[ 4, 10, 10, 34, 34, 94 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^7*y + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^3*y + x^3 + x^2*y + x^2 + y^2 + y]
[[ 0, 6, 6, 18, 30, 78 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^6*y + x^5*y + x^4*y + x^3*y + x^3 + x^2*y + x^2 + x + y^2 + y + 1]
[[ 0, 6, 6, 18, 30, 78 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^7*y + x^7 + x^6*y + x^6 + x^5*y + x^4*y + x^3 + x^2*y + x^2 + x*y + y^2 + y + 1]
[[ 0, 6, 6, 18, 30, 78 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^7*y + x^7 + x^6*y + x^6 + x^5*y + x^4 + x^2*y + x + y^2 + y + 1]
[[ 4, 6, 16, 26, 44, 78 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^7*y + x^7 + x^6*y + x^6 + x^5*y + x^4*y + x^3*y + x^3 + x^2*y + x + y^2 + y]
[[ 4, 6, 16, 26, 44, 78 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^7*y + x^7 + x^6*y + x^6 + x^5*y + x^2*y + x^2 + x + y^2 + y]
[[ 0, 6, 6, 26, 20, 66 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^7*y + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^4 + x^3*y + x^2*y + x^2 + y^2 + y + 1]
[[ 0, 6, 6, 26, 20, 66 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4 + x^2*y + y^2 + y + 1]
[[ 6, 6, 6, 18, 26, 78 ],'<2, 1>',x^13 + x^11 + x^10 + x^9 + x^7*y + x^7 + x^6*y + x^5*y + x^4*y + x^3*y + x^2*y + x + y^2 + y]
[[ 6, 6, 12, 10, 26, 78 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^6*y + x^5*y + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x + y^2 + y]
[[ 4, 6, 4, 18, 34, 90 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^7*y + x^7 + x^6*y + x^5*y + x^5 + x^4*y + x^4 + x^3*y + x^2*y + x + y^2 + y]
[[ 4, 6, 10, 18, 34, 66 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^7*y + x^7 + x^6*y + x^5*y + x^5 + x^4*y + x^3*y + x^3 + x^2*y + x^2 + y^2 + y]
[[ 0, 6, 12, 18, 40, 78 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^4 + x^3*y + x^2*y + y^2 + y + 1]
[[ 6, 10, 12, 26, 26, 70 ],'<2, 1>',x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^6*y + x^5*y + x^4*y + x^3*y + x^2*y + x^2 + y^2 + y]
[[ 6, 10, 12, 26, 26, 70 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^7*y + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^3 + x^2*y + x*y + x + y^2 + y]
[[ 6, 10, 12, 18, 46, 46 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^6*y + x^5*y + x^5 + x^4*y + x^4 + x^3*y + x^2*y + x^2 + y^2 + y]
[[ 6, 6, 18, 26, 26, 66 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^6*y + x^5*y + x^5 + x^4*y + x^3*y + x^3 + x^2*y + x^2 + y^2 + y]
[[ 4, 10, 4, 34, 34, 82 ],'<2, 1>',x^13 + x^12 + x^11 + x^7*y + x^6*y + x^5*y + x^4*y + x^3*y + x^2*y + y^2 + y + 1]
[[ 4, 6, 4, 10, 44, 42 ],'<2, 1>',x^10 + x^8 + x^7*y + x^6*y + x^5*y + x^5 + x^4*y + x^3*y + x^2*y + y^2 + y + 1]
[[ 4, 10, 16, 10, 34, 70 ],'<2, 1>',x^13 + x^10 + x^9 + x^7*y + x^6*y + x^5*y + x^4*y + x^3*y + x^2*y + y^2 + y + 1]
[[ 4, 10, 16, 10, 34, 70 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7*y + x^7 + x^6*y + x^6 + x^5*y + x^3 + x^2*y + x^2 + y^2 + y]
[[ 4, 6, 4, 18, 34, 66 ],'<2, 1>',x^13 + x^12 + x^9 + x^7*y + x^6*y + x^5*y + x^4*y + x^3*y + x^2*y + y^2 + y]
[[ 2, 10, 8, 26, 12, 94 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^7*y + x^7 + x^6*y + x^6 + x^5*y + x^4*y + x^3*y + x^3 + x^2*y + x^2 + y^2 + y + 1]
[[ 4, 6, 10, 18, 24, 66 ],'<2, 1>',x^12 + x^9 + x^8 + x^7*y + x^6*y + x^5*y + x^4*y + x^3*y + x^2*y + y^2 + y]
[[ 4, 6, 10, 18, 24, 66 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^7*y + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^3 + x^2*y + x^2 + x*y + y^2 + y]
[[ 4, 6, 10, 18, 24, 66 ],'<2, 1>',x^12 + x^10 + x^7*y + x^6*y + x^6 + x^5*y + x^2*y + y^2 + y]
[[ 4, 6, 10, 26, 34, 90 ],'<2, 1>',x^10 + x^8 + x^7*y + x^6*y + x^5*y + x^5 + x^4*y + x^3*y + x^2*y + y^2 + y]
[[ 4, 6, 10, 26, 34, 90 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^6*y + x^5*y + x^5 + x^4*y + x^2*y + x^2 + x*y + x + y^2 + y]
[[ 2, 6, 14, 26, 52, 66 ],'<2, 1>',x^14 + x^13 + x^12 + x^9 + x^8 + x^7*y + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^3*y + x^3 + x^2*y + x^2 + y^2 + y]
[[ 2, 6, 14, 26, 52, 66 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^3 + x^2*y + x^2 + x*y + y^2 + y + 1]
[[ 2, 6, 14, 26, 52, 66 ],'<2, 1>',x^13 + x^12 + x^11 + x^9 + x^7*y + x^6*y + x^6 + x^5*y + x^2*y + x^2 + y^2 + y + 1]
[[ 4, 6, 10, 26, 24, 66 ],'<2, 1>',x^12 + x^10 + x^9 + x^7*y + x^6*y + x^5*y + x^4*y + x^3*y + x^2*y + y^2 + y + 1]
[[ 4, 6, 10, 26, 24, 66 ],'<2, 1>',x^13 + x^12 + x^7*y + x^7 + x^6*y + x^5*y + x^2*y + y^2 + y]
[[ 2, 10, 14, 18, 32, 70 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^7*y + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^3*y + x^3 + x^2*y + x^2 + y^2 + y]
[[ 4, 10, 4, 10, 14, 70 ],'<2, 1>',x^13 + x^11 + x^7*y + x^6*y + x^6 + x^5*y + x^4*y + x^3*y + x^2*y + y^2 + y]
[[ 4, 10, 4, 10, 14, 70 ],'<2, 1>',x^11 + x^10 + x^9 + x^7*y + x^6*y + x^5*y + x^4*y + x^2*y + x*y + y^2 + y]
[[ 4, 6, 16, 26, 34, 90 ],'<2, 1>',x^12 + x^10 + x^9 + x^7*y + x^6*y + x^5*y + x^4*y + x^3*y + x^2*y + y^2 + y]
[[ 2, 6, 8, 18, 32, 78 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^7*y + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^3*y + x^2*y + x^2 + x + y^2 + y]
[[ 2, 6, 8, 18, 32, 78 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^6*y + x^6 + x^5*y + x^4*y + x^4 + x^3 + x^2*y + x*y + y^2 + y + 1]
[[ 2, 6, 8, 18, 32, 78 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^6*y + x^6 + x^5*y + x^4 + x^2*y + x + y^2 + y + 1]
[[ 4, 6, 16, 10, 44, 90 ],'<2, 1>',x^13 + x^10 + x^7*y + x^6*y + x^5*y + x^5 + x^4*y + x^3*y + x^2*y + y^2 + y]
[[ 4, 6, 10, 26, 44, 126 ],'<2, 1>',x^13 + x^11 + x^10 + x^7*y + x^6*y + x^5*y + x^4*y + x^3*y + x^2*y + y^2 + y + 1]
[[ 2, 6, 8, 18, 22, 54 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^7*y + x^6*y + x^5*y + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x^2 + y^2 + y]
