[[0, 1, 4, 5, 7], [2, 4], [3, 5], [6, 7]]
[[5,7,8,27,60,70],[10, 13, 37, 17, 38, 53]]
[[5,11,14,23,20,80],[10, 13, 37, 49, 17, 54]]
[[5,7,20,15,50,76],[10, 13, 37, 17, 52, 54]]
[[7,7,13,15,42,85],[10, 13, 17, 39, 51, 53]]
[[4,10,7,26,39,79],[10, 13, 40, 42, 17, 54]]
[[6,8,9,16,41,65],[10, 13, 40, 17, 43, 54]]
[[4,8,10,12,39,80],[10, 13, 40, 49, 17, 53]]
[[3,11,6,19,28,74],[10, 13, 40, 17, 50, 53]]
[[3,5,12,29,33,68],[10, 13, 40, 17, 52, 51]]
[[4,10,7,26,44,73],[10, 13, 40, 17, 52, 53]]
[[5,11,11,19,40,83],[10, 13, 42, 17, 43, 53]]
[[3,7,12,15,13,70],[10, 13, 42, 49, 17, 54]]
[[3,5,9,21,23,59],[10, 13, 42, 17, 52, 54]]
[[3,7,9,47,28,61],[10, 13, 49, 17, 43, 54]]
[[6,6,15,18,46,69],[10, 13, 49, 17, 52, 51]]
[[5,7,14,19,30,82],[10, 13, 49, 17, 52, 53]]
[[5,9,17,9,30,111],[10, 13, 17, 50, 52, 51]]
[[6,8,18,24,26,56],[10, 13, 17, 50, 52, 53]]
[[5,9,11,21,45,63],[10, 13, 34, 18, 39, 53]]
