[[2, 5, 7], [3, 5], [4, 5, 7], [6, 7]]
[0, 10, 14, 40, 49, 18, 44, 53, 54]
[0, 10, 14, 42, 43, 50, 52, 18, 53]
[0, 10, 14, 40, 42, 50, 51, 53, 54]
[0, 10, 14, 40, 49, 44, 51, 53, 54]
[0, 10, 14, 49, 43, 52, 44, 51, 53]
[0, 14, 40, 17, 43, 52, 18, 51, 54]
[0, 14, 40, 49, 17, 52, 18, 44, 54]
[0, 14, 40, 42, 17, 50, 52, 51, 54]
[0, 40, 16, 17, 43, 50, 18, 51, 53]
[0, 40, 16, 49, 17, 50, 18, 44, 53]
[0, 40, 16, 42, 49, 17, 43, 44, 53]
[0, 42, 49, 17, 43, 50, 44, 53, 54]
[1, 5, 14, 40, 7, 8, 52, 9, 44]
[1, 5, 14, 7, 8, 43, 52, 9, 44]
[1, 5, 14, 7, 49, 8, 52, 9, 51]
